	16	0	35	-1	105	1	4	-1	30
	105	36	53	16	97	17	4	-1	29
	1	54	61	16	-1	-1	1	-1	1
	97	62	73	105	89	34	4	-1	28
	89	74	86	97	81	33	4	-1	27
	81	87	90	89	73	3	4	-1	26
	73	91	95	81	65	57	4	-1	25
	65	96	97	73	130	2	4	-1	23
	130	98	111	65	122	10	4	-1	22
	3	112	139	81	-1	-1	1	-1	1
	57	140	166	73	8	0	2	-1	2
	34	167	187	97	-1	-1	1	-1	1
	2	188	193	65	-1	-1	1	-1	1
	0	194	208	57	-1	-1	1	-1	1
	8	209	212	57	-1	-1	1	-1	1
	41	213	216	49	-1	-1	1	-1	1
	33	217	228	89	-1	-1	1	-1	1
	25	229	238	49	-1	-1	1	-1	1
	17	239	246	105	-1	-1	1	-1	1
	122	247	260	130	114	9	4	-1	21
	114	261	263	122	106	51	4	-1	20
	106	264	268	114	98	50	4	-1	16
	98	269	281	106	90	49	4	-1	15
	90	282	290	98	82	44	4	-1	13
	44	291	322	90	61	5	3	-1	6
	82	323	339	90	74	26	3	-1	7
	74	340	344	82	67	42	3	-1	6
	67	345	355	74	59	66	3	-1	5
	51	356	377	114	43	11	2	-1	4
	9	378	414	122	-1	-1	1	-1	1
	49	415	433	98	25	41	2	-1	2
	58	434	436	66	-1	-1	1	-1	1
	50	437	443	106	-1	-1	1	-1	1
	42	444	452	74	-1	-1	1	-1	1
	26	453	467	82	-1	-1	1	-1	1
	18	468	483	66	-1	-1	1	-1	1
	10	484	486	130	-1	-1	1	-1	1
	59	487	500	67	35	4	2	-1	3
	35	501	525	59	19	28	2	-1	2
	43	526	531	51	36	27	2	-1	3
	28	532	559	35	-1	-1	1	-1	1
	36	560	570	43	20	12	2	-1	2
	4	571	581	59	-1	-1	1	-1	1
	66	582	602	67	18	58	2	-1	2
	27	603	610	43	-1	-1	1	-1	1
	19	611	616	35	-1	-1	1	-1	1
	11	617	637	51	-1	-1	1	-1	1
	61	638	681	44	53	7	3	-1	5
	5	682	706	44	-1	-1	1	-1	1
	20	707	724	36	-1	-1	1	-1	1
	12	725	743	36	-1	-1	1	-1	1
	7	744	797	61	-1	-1	1	-1	1
	53	798	808	61	45	37	3	-1	4
	45	809	812	53	6	29	2	-1	2
	6	813	827	45	-1	-1	1	-1	1
	37	828	830	53	13	21	2	-1	2
	29	831	864	45	-1	-1	1	-1	1
	21	865	866	37	-1	-1	1	-1	1
	13	867	871	37	-1	-1	1	-1	1
